0
"baru pertama nyoba buat cuci muka, enak ga  narik ke muka. cocok sepertinya, seller gercep dan packing aman."
"mantap, pacar saya suka 🙏🏻 tipe kulitku normal"
bahan ringan gampang diserap
"udh repurchase ke 3x, cocok dimukaku yg kadang oily kadang kerung kerontang"
tipe kulitku berminyak
barang sesuai dan datang tepat waktu..
barang sesuai dan datang tepat waktu..
"salah satu sunscreen terbagus yang pernah aku pakai. ringan. ga whitecast tp ada efek cerah sedikit. gampang diratain. gampang dibersihin, pas wudhu juga ga perih di mata. ada efek coolingnya. auto repurchase"
dapat free buble sheet mask dan pouch kecil
tipe kulitku berminyak
tipe kulitku sensitif
tipe kulitku kombinasi
"bagus, udah pakai yg kemasan ungu. Mau coba yg orange ini sm gaksih? hihi
yg spf30 buat harian yg orange kl pergi²"
"bagus, udah pakai yg kemasan ungu. Mau coba yg orange ini sm gaksih? hihi"
"dikemas cpt si, cm pengiriman menurutku lama 
tp barang oke si"
"dikemas cpt si, cm pengiriman menurutku lama 
tp barang oke si"
tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar
"pengiriman cpt dan aman meskipun kardus nya penyok, lumayan cakep buat bersihin maskara"
adem di muka mudah2an cocok di aqu tipe kulitku kombinasi
Ok banget
tipe kulitku normal
tipe kulitku berminyak
tipe kulitku sensitif
tipe kulitku kering
Baru mau coba yang seri oren ini semoga sama cocoknya seperti yang biru
Udah pernah coba yang edisi kecil trus cocok jadi beli lagi yg besar ringan di wajah gack berminyak semoga awet dan bermanfaat dikulit saya yg sensi
tipe kulitku berminyak tipe kulitku sensitif
tipe kulitku berminyak
"first purchase, semoga cocok, pengiriman cepat, packaging aman"
"first purchase, semoga cocok, pengiriman cepat packaging aman"
baru mau coba nih..mudah2an cucok yaa & sellernya oke bangeett
gampang banget diaplikasikan di mata
"dikasih bonus, Terima kasih"
"Ini ss pouch ke 2 
Sebelumnya idah berbagai produk ss 
Cuma keknya ini lebih cocok"
emang udah sering banget beli ini dan cocok di pake di kulit teksturnya juga ga terlalu berat dan tipe kulit ku juga kering
tipe kulitku kering tipe kulitku normal
No review found
tipe kulitku normal
"produk ori,cocok buat kulit acne"
tipe kulitku berminyak masalah kulitku jerawat tipe kulitku sensitif masalah kulitku kerutan tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering masalah kulitku pori besar kulitku juga kadang beruntusan
tipe kulitku berminyak
tipe kulitku normal
terimakasih banyak yaaa..paket sudah mendarat dengan selamat..
tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar
"barang sudah diterima, packing rapih. makasih seller"
tipe kulitku berminyak tipe kulitku sensitif
tipe kulitku berminyak under tone kulitku warm
"exp msh lama, semoga cocok di kulit. packing ok. makasih kak"
Sesuai dengan pesanan🫡🫡next order lagi
tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku pori besar masalah kulitku jerawat
"Barang orisinil.
Semoga cocok dengqn wajahku"
belum dicoba..sayangnya nggak dikasih free produk
tipe kulitku berminyak
"liptint kesukaan udah berapa kali repurchase, warnanya cantikkk"
"Kualitas: Bagus Pokoknya Mah
Harga: Murah Karna Diskon
Bentuk: Sesuai Dengan Barang dan Fotonya
Desain: Seperti Biasanya
Bentuk/Tekstur: Bagus dan Aman"
tipe kulitku kombinasi
mantap banget dapet bonus facial wash juga. thanku Y.O.U.
kurirnya ga rekomended 😒😒😒😒 barangnya aman seller gercep👌👌👌
Barang sesuai pesanan.... recommended..
tipe kulitku berminyak
Bikin matte seharian luvvv pokoknyaaaa cmiw
Bagus bangeeeettt produk y.o.u sukaaa
tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku normal masalah kulitku jerawat tipe kulitku sensitif masalah kulitku kerutan masalah kulitku pori besar
"tipe kulitku kombinasi, cocok to mudah menyerap"
bagus banget pigmented puas pengiriman cepat
Kiriman aman dan cepet. Mungil enak buat dibawa kemana2. Mdh2an awet. Makasih
"Sesuai pesanan. Paket aman.
Nyaman dipakai."
"dapet bonus simplicity wkwk makasii, baru pertama coba semoga cocok"
tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku jerawat
"sunscreen nya enakk banget du muka 
tipe kulitku berminyak"
Mantap
