Review,Product,Rating,Username,Date
"Tim AVO salah kirim barang (yg dikirim toner dengan harga 149 rb), karena sdg musim pandemi saya malas kirim balik barang (toh ongkir juga saya yg tanggung pastinya kan). Saya juga akhirnya memutuskan untuk  tetap beli serum ini. 

Saya pikir hal normal klo kesalahan penjual untuk selisih bayar bukan tanggung jawab pembeli dong,,,ya saya pikir jg 10 rb (walaupun avo juga kasih voucher untuk pembelian senilai 20 rb). 
Saya kasih kabar CS kalau saya sudah beli serum dan dipastikan jgn ada salah kirim lagi, yg saya dapatkan adalah saya diminta bayar kekurangan :) 

Ya ampun bukan masalah 10 rb sih, cuma pake logika aja, kalian yg salah, kalian yg bkn ribet. 

Kemudian, apakah diperbolehkan saya Tokopedia untuk trf ke rekening seller ya?",Avoskin Your Skin Bae Ultimate Hyaluron HYACROSS 3% + Green Tea,bintang 1,Etin,Lebih dari 1 tahun lalu
kecewa,Avoskin The Great Shield Sunscreen 30ml,bintang 1,A***n,Lebih dari 1 tahun lalu
tokok tidak amanah pembohong gak sesuai ucapan jualan asal laku aja kecewa,Avoskin Advance Action Eye Ampoule,bintang 1,N***a,Lebih dari 1 tahun lalu
kecewa sama pembelian di toko ini. saya dikirim barang rusak tapi tidak ada tanggubg jawab dan dipersulit. liat deh serum nya mengkristal ga jelas gt. dan tisp beli selalu aja isi produk di dalamnya berdebu.,Avoskin Miraculous Refining Toner 100ml,bintang 1,F***a,Lebih dari 1 tahun lalu
belum terlihat manfaatnya,Avoskin Advance Action Eye Ampoule,bintang 1,A***n,Lebih dari 1 tahun lalu
suncreen SPF 50 isinya kosong. ngak ngerti dengan QCnya.,Avoskin The Great Shield Sunscreen 5ml,bintang 1,beby,Lebih dari 1 tahun lalu
"dari awal menerima,isi udah berkurang cukup bnyak.kali prtama kecewa.",Avoskin Your Skin bae Vit. C 3%+Niacinamide 2%+Mandarin Orange Fruit E,bintang 1,M***i,Lebih dari 1 tahun lalu
"gak ada isinya, kecewa banget",Avoskin The Great Shield Sunscreen 5ml,bintang 1,choirunnisa,Lebih dari 1 tahun lalu
Bruntusan,Avoskin Miraculous Retinol Series,bintang 1,AnnisaSalsabilla,Lebih dari 1 tahun lalu
"Ga cocok banget sm kulitku. Sedih. Bawah mata bengkak pdahal baru pake 2 kali, spertinya alergi sm bbrp bahan di dalamnya. Sayang banget😔",Avoskin Advance Action Eye Ampoule,bintang 1,M***t,Lebih dari 1 tahun lalu
aku pesen 2 pcs...1 toner 1 essence...eh dikabari ekspedisi...dusnya rembes air...sedih...padahal tonerku udh tiris...jdinya kutolak paketnya...ujung2nya duit dibalikin huft bikin lama lagi...di video yg dikirimin ekspedisi terlihat....tonernya ini aman gak berkurang sama skali...tp mau ga mau kubalikin 2-2nya,Avoskin Miraculous Retinol Toner 100ml,bintang 1,vina,Lebih dari 1 tahun lalu
bocor.....paket basah...sedih....,Avoskin Hydrating Treatment Essence,bintang 1,vina,Lebih dari 1 tahun lalu
ga kebayang kalo sunscreen 5 ml itu stlh dipencet2 isinya hampir ga ada 😢 maaf ya. tapi mending ganti SKU yg lbh banyak ml nya,Avoskin The Great Shield Sunscreen 5ml,bintang 1,Eva,Lebih dari 1 tahun lalu
"udah pede ga akan ada masalah karena dari official store jadi pas buka ga divideo, taunya ada satu yg atasnya udah sobek gitu. dan tentunya semua essencenya kering sudah. lesson learned jaman skrg memang semua paket harus video unboxing bahkan dari toko terpercaya sekalipun.",Mix Miraculous Sheet Mask,bintang 1,fitri,Lebih dari 1 tahun lalu
"hasilnya belom nampak ,udah 2 minggu pemakaian",Avoskin Advance Action Eye Ampoule,bintang 1,melva,Lebih dari 1 tahun lalu
"segel plastik y sdh gk ada, pas d buka krtas dlm y udh robek, kek udh di unboxing. ",Avoskin Intensive Divine Day Cream,bintang 1,mae,Lebih dari 1 tahun lalu
"tutup tidak rapat, bocor sampai isinya habis. proses komplain ribet sekali harus kirim balik kemasan kosongnya.",Avoskin Hydrating Treatment Essence,bintang 1,Jamilatul,Lebih dari 1 tahun lalu
No review found,YSB Glow Concentrate 2% Aqua Ceramide + Microbiome + Hyaluronic Acid,bintang 1,A***a,Lebih dari 1 tahun lalu
Tidak diberikan bonus sesuai deskripsi,Avoskin The Great Shield Sunscreen 5ml,bintang 1,p***a,Lebih dari 1 tahun lalu
timbul banyak jerawat2 kecil😌,Avoskin Skin Barrier Power Combo (YSB cica panthenol serum & toner),bintang 1,N***i,Lebih dari 1 tahun lalu
"gak cocok, bikin gatal dan iritasi pas pemakaian 1,5 Minggu, coba berhenti 2 Minggu, trus pake lagi ternyata sama aja gatal dan iritasi, jd breakout gitu",Avoskin Miraculous Refining Toner 20ml,bintang 1,meita,Lebih dari 1 tahun lalu
kok bisa isinya kosong ???? aduhhh,Avoskin The Great Shield Sunscreen 5ml,bintang 1,Sindy,Lebih dari 1 tahun lalu
"aku senang dapat pc nya yoongi
tapi aku kecewa sama barangnya, aku mau coba make sunscreennya udah aku pencet, kok gak mau keluar ternyata isinya udah mau habis😞",Avoskin The Great Shield Sunscreen 5ml,bintang 1,f***a,Lebih dari 1 tahun lalu
promonya serum + toner tp dikirim dua2nya serum,Avoskin Glow Up Set! (YSB Serum Niacinamide&YSB Toner Marine Collagen),bintang 1,d***h,Lebih dari 1 tahun lalu
"saya sudah checkout yang ada free guasha, tapi pas sampai guashanya tidak ada. harusnya yang dapat guasha sesuai yang sudah checkout duluan, bukan bayar duluan.",Avoskin Perfect Divine Combo (Divine Aura Ampoule + Toner - Essence),bintang 1,d***a,Lebih dari 1 tahun lalu
"Sebenernya gue suka sama produk avoskin, cuman kalo lagi butuh tu pas kita Travelling SLA / eta / estimasi pengiriman tu ngga sesuai mana ngga ada keterangan Pengiriman Barang H+2 lagi. Sampe gue baca lagi tu diskripsi ngga ada juga keterangan barang dikirim H+2 
Gue beli biasanya di copi sih, tapi karena copi ngga bisa milih kurir akhir kesini lhaa malah lebih parah, 
Pas ngajuin komplain pun ngga ditanggepin barang tetep dikirim, ketika ditanya jawaban mereka templated",Avoskin Natural Sublime Facial Cleanser,bintang 1,P***i,Lebih dari 1 tahun lalu
"Sebenernya gue suka sama produk avoskin, cuman kalo lagi butuh tu pas kita Travelling SLA / eta / estimasi pengiriman tu ngga sesuai mana ngga ada keterangan Pengiriman Barang H+2 lagi. Sampe gue baca lagi tu diskripsi ngga ada juga keterangan barang dikirim H+2 
Gue beli biasanya di copi sih, tapi karena copi ngga bisa milih kurir akhir kesini lhaa malah lebih parah, 
Pas ngajuin komplain pun ngga ditanggepin barang tetep dikirim, ketika ditanya jawaban mereka templated",Avoskin Skin Barrier Power Combo (YSB cica panthenol serum & toner),bintang 1,P***i,Lebih dari 1 tahun lalu
Lama nya minta ampunnnn,[3 pcs] Avoskin Miraculous Divine Aura Liquid Sheet Mask,bintang 1,B***n,Lebih dari 1 tahun lalu
Barangnya gapernah sampe dari tanggal 1 karna ilang kesalahan ANTERAJA. Jadi gatau harus review apa.,Avoskin Perfect Hydrating Treatment Essence 30ml,bintang 1,Elma,Lebih dari 1 tahun lalu
Barangnya gapernah sampe dari tanggal 1 karna ilang kesalahan ANTERAJA. Jadi gatau harus review apa.,Avoskin Natural Sublime Facial Cleanser,bintang 1,Elma,Lebih dari 1 tahun lalu
Beli ini beserta skin care yg lain nya tapitidak pernah menerima sheet mask ini. Complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti. Kecewa banget.,[3 pcs] Avoskin Miraculous Divine Aura Liquid Sheet Mask,bintang 1,Lini,Lebih dari 1 tahun lalu
"harusnya dpt free sesuai jam ordernya.. udah buru2 cekout biar ga habis pesenan... eh yg dtg cuma produk nya, free nya ga dapat... Asli kecewa dan baru ngalamin yg ginian 🥲",Avoskin Miraculous Divine Aura Ampoule,bintang 1,Maria,Lebih dari 1 tahun lalu
No review found,Avoskin Perfect Divine Combo (Divine Aura Ampoule + Toner - Essence),bintang 1,Nathania,Lebih dari 1 tahun lalu
No review found,Avoskin Miraculous Divine Aura Liquid Sheet Mask,bintang 1,Nathania,Lebih dari 1 tahun lalu
No review found,Avoskin Perfect Divine Combo (Divine Aura Ampoule + Toner - Essence),bintang 1,Novi,Lebih dari 1 tahun lalu
"Pengiriman lama..
Seller salah kirim barang.
Barang yg dikirim berlebih.
Saya disuruh bungkus pake kardus dan bubble wrap.
Terus saya dilempar2 dari satu CS ke CS yg lain, dan TERUS MENERUS HARUS MENGULANG INFORMASI YANG SAMA.
Mana saya punya? Kan saya gak jualan online.
Habis itu di tanggal yg dijadwalkan dipick up, barangnya gak dipick up.
Padahal sudah whatsapp2an.
Saya disuruh nungguin sampe gak keluar apartemen seharian.
Malah gak dateng yg pick upnya.
Sudah saya bilang besoknya saya ke luar kota, eh ditelpon2 terus sama anter aja.
Disuruh kirim barangnya ASAP.
Bad experience sekali.
Sungguh MENGECEWAKAN..",Avoskin Miraculous Divine Aura Ampoule,bintang 1,R***y,Lebih dari 1 tahun lalu
"Paket sampe trnyata serumnya pecah dan packaging basah smua sampe kertas boxnya lepek dan berurai. Udh komplain kirim video ke chatbox, disuruh kirim video ke email (udah juga) . Tp no respon . Udah lewat WA (ga dk respon jg). Udh mau sminggu ga kelar” ngurusinnya.
Muter muter doang ngmgnya. Baru kali ini aku kecewa sama pelayanan avoskin.",Avoskin Perfect Divine Combo (Divine Aura Ampoule + Toner - Essence),bintang 1,Ratih,Lebih dari 1 tahun lalu
No review found,Avoskin Miraculous Divine Aura Ampoule,bintang 1,Shyrien,Lebih dari 1 tahun lalu
No review found,[3 pcs] Avoskin Miraculous Divine Aura Liquid Sheet Mask,bintang 1,Shyrien,Lebih dari 1 tahun lalu
No review found,Avoskin Miraculous Divine Aura Toner - Essence,bintang 1,Shyrien,Lebih dari 1 tahun lalu
sudah nunggu nya lama sampai 5 hari lalu produk yang dikirim tidak sesuai. mau ajuin komplain tp males ngebayangin mesti nunggu seminggu lagi. kasih bintang 1 aja,Miraculous Acne Solution Overnight Liquid Ampoule Sheet Mask - 3 pcs,bintang 1,Astari,Lebih dari 1 tahun lalu
"Setau saya, saya beli avoskin basic skit 2 set, yg seharusnya isinya dua night cream dua day cream. Benar? Kenapa yg datang cuma satu set? 
Satu set harga 275,000. Saya beli dua set, saya bayar 550++",Avoskin Basic Kit,bintang 1,H***i,Lebih dari 1 tahun lalu
"Kecewa, pengiriman lama, produk yang datang tidak sesuai pesanan yg dibeli. 11 hari nunggu pengiriman barang datang malah tidak sesuai ",Avoskin Advanced Action Eye Ampoule,bintang 1,L***n,Lebih dari 1 tahun lalu
"hai kak admin, saya sudah kirim komplain karena isi hydrating treatmen essence nya bocor dan tumpah semua, tpi sampai tgl 3 agustus tidak ada pengembalian dana atau penukaran barang, bagaimana ini yaa ? 🙁",Avoskin Hydrate Booster Package,bintang 1,v***i,Lebih dari 1 tahun lalu
"Produknya gabisa dikeluarin 😟 udh dipencet gimanapun tetep gabisa keluar, jd tutupnya harus di buka manual 🙃",Avoskin Advance Action Eye Ampoule,bintang 1,Primadhita,Lebih dari 1 tahun lalu
"Seperti barang lama, ada belingnya gt. saya komplain di instagram katanya wajar kl produknya meng-kristal pdhl saya udh repurchase ini 6x baru ini yang meng kristal. toko mau tanggung jwb retur barang tp saya repot hrs ke ekspedisi pd saat pandemi dan ongkir gosend tdk di tanggung. saya kecewa bgt kayanya ini terakhir saya pakai avoskin. bye bye avoskin",Avoskin Miraculous Refining Serum 30ml,bintang 1,Syaika,Lebih dari 1 tahun lalu
barang nya gk segel.... ,Avoskin Miraculous Retinol Ampoule 30ml,bintang 1,B***r,Lebih dari 1 tahun lalu
"demi allah beli 3pcs tpi yg dikirim cm 1 biji, padahal dikardusnya jelas2 ketulis ""3 pcs"" tpi yg dateng cm 1&kardusnya kecil bgt",Avoskin Retinol Ampoule Lilac Edition,bintang 1,M***z,Lebih dari 1 tahun lalu
"kecewa banget beli ini karena freenya, trus pas di chat bilangnya untuk orang tertentu, pdhal tidak dijelaskan sebelumnyaaa",[TWINPACK] Avoskin Refining Toner 100ml,bintang 1,Nur,Lebih dari 1 tahun lalu
"Kecewa bngt pdhl pengen bngt toner ini tp seller nya kurang teliti ga di cek dulu kerapatan tutup nya. barang belum sampe tp udh dikasih tau sama ekspedisi klo paket nya hancur. dan yg lebih mengecewakan lagi proses refund nya lama bngt pesan dr tanggal 12, tgl 15 pesanan ditolak dan udh dikonfirmasi sama ekspedisi nya tp jawaban admin avo sama toped gitu2 aja disuruh nunggu mulu sampe detik ini duit refund jg belum ada",Avoskin Hydrating Treatment Essence,bintang 1,Ria,Lebih dari 1 tahun lalu
beli ini buat temen dan dia bilang pas dibuka isinya hampir kosong dan seperti ga ada isinya. sepertinya kesalahan produksi dan saya lihat ada banyak review lain yang mengalami hal yang sama. padahal yang lain bagus tapi yang ini dissapointing banget. rugi 50k dapetnya botol kosong. hati-hati untuk yang mau beli..,Avoskin The Great Shield Sunscreen 5ml,bintang 1,L***A,Lebih dari 1 tahun lalu
Break out pake ini🥲,Avoskin Perfect Divine Combo (Divine Aura Ampoule + Toner - Essence),bintang 1,M***l,Lebih dari 1 tahun lalu
"Produk di kirimkan sangat terlambat molor dua hari dari maximum yang dijanjikan.  Akibatnya tidak terbawa oleh anak saya yang harus balik ke UK.  Kami coba membatalkan pesanan ketika status masih dalam ""diproses"" dan kami sudah mengubungi merchant via chats.  Dijawab OK, namun produk tetap dipaksan dikirim meski tahu tanpa guna",Avoskin Miraculous Retinol Ampoule 30ml,bintang 1,Meilando,Lebih dari 1 tahun lalu
"Harga normal dengan expired date yang mau abis? Kemasa. Berdebu, apakah layak dengan harga segitu?",Avoskin Miraculous Refining Serum 30ml,bintang 1,t***a,Lebih dari 1 tahun lalu
